"name","item","item 2","item 3","review-truncated-words","review-words","time"
"一二三四","设施：5.0","环境：5.0","服务：5.0","北京APM购物中心，位于王府井商业街，坐地铁从金鱼胡同站直接就可以上来了。购物中心还是很大的，周末来逛...","北京APM购物中心，位于王府井商业街，坐地铁从金鱼胡同站直接就可以上来了。购物中心还是很大的，周末来逛逛。环境很不错，人不多。就是餐饮区人非常多。还有很多服饰品牌，国外品牌很多。非常吸引顾客。我觉得很不错。","2023-04-05 06:56"
"匿名用户","设施：4.0","环境：4.0","服务：3.5","个人比较喜欢这个商场，王府井交通便利附近的各种类型的商场都比较集中，楼层没那么高，很开阔舒适，有点成...","个人比较喜欢这个商场，王府井交通便利附近的各种类型的商场都比较集中，楼层没那么高，很开阔舒适，有点成都和杭州商业圈的感觉，不错不错，下次逛商场就集中这里了。商场内还有民谣类型的商演整的挺不错的。还碰到了熟人","2023-04-05 02:26"
"美食华华","设施：4.5","环境：4.5","服务：4.5","王府井apm店在大的商圈内，地理位置好，交通便利，地铁、公交直达。建筑宏大，滚梯、直梯均可分别到达各层...","王府井apm店在大的商圈内，地理位置好，交通便利，地铁、公交直达。建筑宏大，滚梯、直梯均可分别到达各层。这里国内外大牌商品挺多，高端化妆品、鞋帽，箱包、衣服等均有，苹果手机体验店上下有两层，还有众多餐饮品牌店入住。每次来购物、吃饭一站满足。赞一个哈！","2023-04-04 18:21"
"匿名用户","设施：4.0","环境：3.5","服务：0.5","","服务台的女的 眼睛有病就去看 问你点啥瞟来瞟去的 你多点啥啊 多条胳膊多条腿啊","2023-04-04 08:50"
"今天要早睡啊","设施：4.0","环境：4.0","服务：4.0","今天去国贸吃个早午茶然后去参加apm的会员活动，消耗了100积分，是插花的活动，去年参加了画画，也是消耗积...","今天去国贸吃个早午茶然后去参加apm的会员活动，消耗了100积分，是插花的活动，去年参加了画画，也是消耗积分，环境不错，就是积分总忘记积，今天人很多，老师教的也很认真；花材很多，虽然有些花不新鲜了，但是老师教得不错。","2023-04-02 21:58"
"赤逍","设施：4.5","环境：5.0","服务：4.5","还是天冷的时候去的，非常喜欢这里的环境，很高档，作为王府井的必打卡商场，逛整个半天是一点问题都没有的...","还是天冷的时候去的，非常喜欢这里的环境，很高档，作为王府井的必打卡商场，逛整个半天是一点问题都没有的，楼上美食云集，经常来这里逛吃逛喝。
好几个楼上的美食品牌都需要排队，超级火！在一楼买过口红💄，服务都很热情","2023-04-02 18:42"
"卍楽啤露卍","设施：5.0","环境：5.0","服务：5.0","","北京Apm一座时尚潮流的购物中心，各种品牌的新品旗舰产品在此几乎都可以买到，适合年轻消费群体，整体感觉不错","2023-04-02 12:47"
"sabrinaviki","设施：4.5","环境：4.5","服务：4.5","好久没有来王府井这里了，朋友中了霸王餐，邀请我一起来体验，才来光顾到这里
这里是商场加写字楼格局的，...","好久没有来王府井这里了，朋友中了霸王餐，邀请我一起来体验，才来光顾到这里
这里是商场加写字楼格局的，经过升级改造之后，商场明显比之前漂亮了许多
一层有“苹果店”之后就如同其他商场的格局一样，一层基本上都是化妆品或者名牌店的
主要的餐饮区在商场的五层和六层，餐饮行业包括了“麻六记”、“局气”、“巴奴毛肚”、“鼎泰丰”、“小大董”等
其他楼层除了苹果店还有G2000、李宁、MLB、巴宝莉、GUCCI、芭比布朗等
北京APM的寓意是从早到晚的意思，商家也是为年轻人专门打造的座年轻、时尚、潮流型购物中心
北京APM的前身是北京的“新东安市场”经过香港新鸿基集团的升级改造之后，未来可期","2023-04-02 12:43"
"ali","设施：5.0","环境：5.0","服务：5.0","","北京最爱的商场apm，经常有各种活动，都十分有意思，很棒的商场，楼上有很多很多好吃的好吃的，今天还送了美丽的鲜花。","2023-04-01 20:33"
"晴天","设施：5.0","环境：5.0","服务：5.0","今日打卡|北京apm|

🏡商场：「北京apm」

📍位置：东城区，王府井大街138号

🏢就在王府井百货大楼对面...","今日打卡|北京apm|

🏡商场：「北京apm」

📍位置：东城区，王府井大街138号

🏢就在王府井百货大楼对面，不少奢侈品牌，和很多当下热度很高的餐厅

⏰营业时间：10:00-22:00

🚇交通：地铁1号线，王府井站(E3东北口)","2023-04-01 14:42"
"黄金蟹钳","设施：4.5","环境：4.5","服务：4.5","","比较有风格特色商场
品牌临澧，在王府井步行街上
喜欢逛可以来逛逛。","2023-04-01 10:08"
"jennyhung0103","设施：5.0","环境：5.0","服务：4.0","挺喜欢去逛王府井apm或是看电影，吃饭什么的，空间非常大，逛起来不会觉得拥挤，空间设计把人流给散开来，...","挺喜欢去逛王府井apm或是看电影，吃饭什么的，空间非常大，逛起来不会觉得拥挤，空间设计把人流给散开来，餐厅也是五楼六楼都有不同的选择。
一楼中庭经常会有一些活动或是小型展览，有时候也会有护肤小样品的兑换机。去年还增加了一间PAGEONE书店，建议可以带孩子去看看。
一层的Apple iPhone旗舰店经常人满为患，不过好像看的人比较多。
anyway，有空的时候就可以去逛逛咯！","2023-03-31 23:16"
"Xu","设施：4.5","环境：4.5","服务：4.5","","商场日常牌子很全，主要是来买戒指的","2023-03-31 17:46"
"从海洋中来","设施：4.5","环境：4.5","服务：4.5","","逛过一次，还可以。里面有些性价比高的餐厅可以尝试。","2023-03-31 15:04"
"点小评5940631721","设施：5.0","环境：5.0","服务：5.0","王府井apm基本上每周都会来，逛吃逛吃 基本上都能发现好多惊喜
楼下有好几家新开的店铺都挺宝藏的
我最喜欢...","王府井apm基本上每周都会来，逛吃逛吃 基本上都能发现好多惊喜
楼下有好几家新开的店铺都挺宝藏的
我最喜欢的还是楼上这家新开的豆之屋 他家来的时候基本上都要排队 我跟女朋友我俩都特别爱吃主要因为他家吃的低糖 口味独到 还不容易发胖 真的是非常宝藏的小店了 逛完我们又去楼上吃了日料 感觉非常满足 也希望apm能越来越多好吃的店铺","2023-03-30 23:45"
